City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,puerto ayora,-0.7393,-90.3518,73.36,73,overcast clouds,10.51,EC,1667408375
244,corrientes,-27.4806,-58.8341,73.98,32,clear sky,8.05,AR,1667408213
245,ust-koksa,50.2696,85.6108,26.6,69,clear sky,0.76,RU,1667408376
246,saint-pierre,-21.3393,55.4781,74.88,73,scattered clouds,6.91,RE,1667408376
247,severo-kurilsk,50.6789,156.125,43.27,94,light rain,15.05,RU,1667408377
248,tabou,4.423,-7.3528,80.42,78,overcast clouds,7.58,CI,1667408377
249,porto santo,33.072,-16.3415,71.98,73,few clouds,5.75,PT,1667408377
250,liberal,37.0431,-100.921,69.04,31,few clouds,24.4,US,1667408378
251,naze,28.3667,129.4833,70.72,73,overcast clouds,6.24,JP,1667408378
252,krasnoselkup,65.7,82.4667,0.07,98,scattered clouds,5.23,RU,1667408378
253,novosheshminsk,55.0651,51.2338,30.54,89,scattered clouds,9.53,RU,1667408379
254,quattro castella,44.635,10.4743,57.25,88,light rain,1.57,IT,1667408379
255,nipawin,53.3668,-104.0009,28.44,93,overcast clouds,10.36,CA,1667408379
256,tombouctou,20.0,-3.0,86.67,10,clear sky,7.11,ML,1667408380
257,mandalgovi,45.7625,106.2708,20.1,47,few clouds,4.56,MN,1667408380
258,bonavista,48.6499,-53.1147,50.4,92,light rain,20.54,CA,1667408380
259,pochutla,15.7432,-96.4661,84.81,57,scattered clouds,3.06,MX,1667408381
260,trairi,-3.2778,-39.2689,87.01,56,overcast clouds,14.99,BR,1667408163
261,quelimane,-17.8786,36.8883,80.55,83,scattered clouds,11.99,MZ,1667408109
262,pak phanang,8.3511,100.202,79.18,65,overcast clouds,8.77,TH,1667408381
263,belmonte,-15.8631,-38.8828,79.27,76,overcast clouds,6.15,BR,1667408383
264,pag,44.445,15.0575,59.58,68,broken clouds,6.22,HR,1667408383
265,silver city,32.7701,-108.2803,60.76,44,clear sky,8.01,US,1667408383
266,nemuro,43.3236,145.575,50.54,82,overcast clouds,13.2,JP,1667408384
267,upernavik,72.7868,-56.1549,12.52,55,broken clouds,8.12,GL,1667408384
268,north platte,41.1239,-100.7654,61.12,25,broken clouds,14.83,US,1667408384
269,berlevag,70.8578,29.0864,41.0,81,clear sky,27.63,NO,1667408385
270,mogadishu,2.0371,45.3438,79.05,79,few clouds,12.12,SO,1667408235
271,lompoc,34.6391,-120.4579,58.84,75,broken clouds,4.0,US,1667408385
272,kotovo,50.3211,44.8012,32.61,73,overcast clouds,13.02,RU,1667408386
273,batagay,67.6333,134.6333,-8.7,95,broken clouds,5.57,RU,1667408386
274,parga,39.2831,20.3964,67.12,66,few clouds,2.57,GR,1667408386
275,broken hill,-31.95,141.4333,51.58,70,clear sky,7.05,AU,1667408386
276,sobolevo,54.4299,31.8996,42.08,90,overcast clouds,3.94,RU,1667408387
277,puerto penasco,31.3167,-113.5333,73.36,50,clear sky,20.49,MX,1667408387
278,kiama,-34.6833,150.8667,54.57,66,clear sky,15.01,AU,1667408387
279,alice springs,-23.7,133.8833,54.95,35,clear sky,8.05,AU,1667408236
280,hualmay,-11.0964,-77.6139,68.27,69,overcast clouds,9.78,PE,1667408388
281,hovd,48.0056,91.6419,23.86,79,clear sky,2.06,MN,1667408388
282,bukachacha,52.9833,116.9167,5.11,87,clear sky,3.29,RU,1667408388
283,ucluelet,48.9329,-125.5528,39.09,93,broken clouds,2.71,CA,1667408389
284,mahebourg,-20.4081,57.7,74.25,78,scattered clouds,8.05,MU,1667408389
285,muromtsevo,56.3724,75.2418,33.67,89,broken clouds,11.65,RU,1667408389
286,port hedland,-20.3167,118.5667,68.05,64,clear sky,9.22,AU,1667408390
287,srednekolymsk,67.45,153.6833,-10.93,91,overcast clouds,4.97,RU,1667408390
288,nicoya,10.1483,-85.452,83.8,75,broken clouds,1.97,CR,1667408390
289,sitka,57.0531,-135.33,37.49,76,overcast clouds,5.35,US,1667408391
290,borodino,55.9106,94.8983,28.85,80,broken clouds,4.5,RU,1667408391
291,coeneo,19.8167,-101.5833,71.35,51,clear sky,3.24,MX,1667408391
292,tevriz,57.509,72.4042,35.13,89,overcast clouds,10.11,RU,1667408392
293,fort-shevchenko,44.5086,50.263,51.1,61,scattered clouds,23.38,KZ,1667408392
294,grand gaube,-20.0064,57.6608,74.37,70,clear sky,5.99,MU,1667408392
295,yaan,7.3833,8.5667,83.35,42,few clouds,1.3,NG,1667408393
296,casalmaggiore,44.9939,10.4189,59.94,88,overcast clouds,4.09,IT,1667408393
297,oranjemund,-28.55,16.4333,61.23,88,scattered clouds,10.18,NA,1667408381
298,vestmannaeyjar,63.4427,-20.2734,41.99,87,broken clouds,4.61,IS,1667408393
299,opochka,56.7105,28.6617,45.99,87,overcast clouds,0.87,RU,1667408394
300,bethel,41.3712,-73.414,70.2,53,clear sky,3.0,US,1667408098
301,mataram,-8.5833,116.1167,79.61,85,overcast clouds,4.54,ID,1667408394
302,hami,42.8,93.45,44.15,38,clear sky,4.0,CN,1667408395
303,bealanana,-14.55,48.7333,64.13,82,broken clouds,2.89,MG,1667408395
