City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,sicamous,50.8331,-118.9856,35.19,97,100,2.01,CA,1667572466
121,omsukchan,62.5333,155.8,-1.19,95,97,5.08,RU,1667572376
122,nikolskoye,59.7035,30.7861,30.09,80,16,3.36,RU,1667572236
123,liverpool,53.4106,-2.9779,54.64,73,40,13.8,GB,1667572466
124,mount isa,-20.7333,139.5,71.37,21,0,9.22,AU,1667572469
125,carnarvon,-24.8667,113.6333,68.07,77,0,24.16,AU,1667572230
126,cabangahan,9.0781,122.9469,80.8,80,97,4.25,PH,1667572470
127,hofn,64.2539,-15.2082,46.42,57,0,4.61,IS,1667572316
128,pisco,-13.7,-76.2167,62.65,82,100,3.44,PE,1667572292
129,kiama,-34.6833,150.8667,61.0,83,56,1.01,AU,1667572232
130,sao filipe,14.8961,-24.4956,81.54,61,75,8.43,CV,1667572241
131,baykit,61.67,96.37,9.52,99,94,2.15,RU,1667572470
132,caravelas,-17.7125,-39.2481,72.41,67,100,16.73,BR,1667572241
133,oussouye,12.485,-16.5469,91.58,25,100,5.82,SN,1667572471
134,sola,-13.8833,167.55,79.92,74,9,4.47,VU,1667572471
135,nioro,13.35,-15.75,94.08,17,51,7.34,GM,1667572358
136,matara,5.9485,80.5353,77.29,89,81,6.26,LK,1667572472
137,delta del tigre,-34.7633,-56.3853,68.41,45,40,11.5,UY,1667572472
138,deputatskiy,69.3,139.9,-14.93,90,85,2.51,RU,1667572472
139,novikovo,51.1537,37.8879,38.61,66,97,3.18,RU,1667572473
140,andros,37.8333,24.9333,68.56,72,0,3.0,GR,1667572473
141,sitka,57.0531,-135.33,39.09,81,100,9.22,US,1667572135
142,hutchinson,38.0608,-97.9298,37.35,93,100,16.11,US,1667572437
143,houma,29.5958,-90.7195,77.0,96,75,12.66,US,1667572182
144,flinders,-34.5833,150.8552,60.39,76,51,4.76,AU,1667572294
145,soria,41.6667,-2.6667,55.11,61,95,13.49,ES,1667572474
146,bredasdorp,-34.5322,20.0403,70.41,69,55,14.07,ZA,1667572379
147,ambatondrazaka,-17.8333,48.4167,76.1,54,97,2.77,MG,1667572475
148,berlevag,70.8578,29.0864,41.0,81,75,10.36,NO,1667572476
149,hutang,31.5333,119.4833,52.65,62,55,6.24,CN,1667572476
150,raton,36.9034,-104.4391,30.81,93,100,10.36,US,1667572230
151,grindavik,63.8424,-22.4338,43.27,87,75,18.41,IS,1667572476
152,tuktoyaktuk,69.4541,-133.0374,14.0,85,100,14.97,CA,1667572226
153,mutoko,-17.397,32.2268,75.81,50,100,3.74,ZW,1667572477
154,lokomotivnyy,53.0118,60.5684,29.03,83,98,15.95,RU,1667572477
155,vostok,46.4856,135.8833,18.12,69,7,5.44,RU,1667572477
156,san vicente,-26.6167,-54.1333,74.71,34,0,2.66,AR,1667572315
157,bairiki,1.3292,172.9752,78.8,78,20,5.75,KI,1667572478
158,ciro marina,39.3732,17.126,73.27,70,100,14.67,IT,1667572478
159,georgetown,5.4112,100.3354,78.73,94,20,7.0,MY,1667572229
160,severo-kurilsk,50.6789,156.125,37.81,73,55,11.12,RU,1667572246
161,general pico,-35.6566,-63.7568,81.07,21,66,18.32,AR,1667572479
162,mataram,-8.5833,116.1167,79.61,86,100,6.64,ID,1667572479
163,ketou,7.3633,2.5998,90.91,47,95,4.74,BJ,1667572480
164,port alfred,-33.5906,26.891,70.18,86,66,4.0,ZA,1667572267
165,det udom,14.906,105.0784,75.02,76,16,7.38,TH,1667572480
166,arraial do cabo,-22.9661,-42.0278,69.66,73,75,8.05,BR,1667572292
167,gravdal,68.1214,13.5031,48.09,66,0,8.05,NO,1667572480
168,kolpny,52.2282,37.0368,34.88,78,100,4.32,RU,1667572481
169,hualmay,-11.0964,-77.6139,66.92,72,52,8.63,PE,1667572367
170,tuatapere,-46.1333,167.6833,45.55,77,97,12.8,NZ,1667572481
171,roma,43.2128,-75.4557,63.82,62,0,6.91,US,1667572284
172,coffs harbour,-30.3,153.1333,58.96,77,100,9.22,AU,1667572481
173,ajaccio,42.0,8.9167,64.45,52,100,11.5,FR,1667572411
174,belomorsk,64.5232,34.7668,36.12,91,100,6.53,RU,1667572482
175,poum,-20.2333,164.0167,78.4,76,3,11.41,NC,1667572350
176,cockburn town,21.4612,-71.1419,80.37,70,6,9.6,TC,1667572346
177,butaritari,3.0707,172.7902,79.32,74,32,11.81,KI,1667572232
178,tahe,52.3333,124.7333,19.49,93,100,3.44,CN,1667572482
179,brae,60.3964,-1.353,49.41,79,68,17.56,GB,1667572483
180,puerto madryn,-42.7692,-65.0385,80.28,20,8,25.46,AR,1667572483
181,isangel,-19.55,169.2667,76.19,86,1,3.24,VU,1667572483
182,tilichiki,60.4667,166.1,34.2,98,100,24.02,RU,1667572351
183,simplicio mendes,-7.8539,-41.9103,87.26,50,90,5.79,BR,1667572484
184,tokur,53.1333,132.9,8.1,97,100,2.75,RU,1667572484
185,kaitangata,-46.2817,169.8464,49.12,56,70,16.51,NZ,1667572272
186,santo angelo,-28.2992,-54.2631,71.92,49,0,13.8,BR,1667572485
187,atar,20.5169,-13.0499,92.95,8,0,13.82,MR,1667572486
188,malanje,-9.5402,16.341,76.39,70,37,6.31,AO,1667572486
189,san patricio,28.017,-97.5169,82.26,84,79,18.43,US,1667572409
190,matata,-37.8833,176.75,55.85,86,0,9.69,NZ,1667572487
191,verkhnevilyuysk,63.4453,120.3167,14.07,91,100,9.01,RU,1667572487
192,polyarnyy,69.1989,33.4478,37.69,94,100,13.76,RU,1667572403
193,jishou,28.3167,109.7167,57.43,67,38,3.13,CN,1667572383
194,la ronge,55.1001,-105.2842,19.65,86,100,14.97,CA,1667572310
195,rawlins,41.7911,-107.2387,16.36,79,0,19.57,US,1667572488
